Marked,Time,Serial Bus,Rx,Tx,Errors
,-76.74ms,Serial1,,00,
,-74.66ms,Serial1,,00,
,-72.58ms,Serial1,,00,
,-70.50ms,Serial1,,00,
,-68.41ms,Serial1,,00,
,-66.33ms,Serial1,,00,
,-64.25ms,Serial1,,00,
,-62.17ms,Serial1,,00,
,-60.09ms,Serial1,,00,
,-58.01ms,Serial1,,00,
,-55.93ms,Serial1,,00,
,-53.85ms,Serial1,,00,
,-51.77ms,Serial1,,98,
,-49.69ms,Serial1,,DE,
,-14.30ms,Serial1,CE,,
,-12.22ms,Serial1,00,,
,-10.14ms,Serial1,00,,
,-8.056ms,Serial1,00,,
,-5.968ms,Serial1,00,,
,-3.888ms,Serial1,00,,
,-1.808ms,Serial1,00,,
,272.0us,Serial1,08,,
,2.360ms,Serial1,00,,
,4.440ms,Serial1,00,,
,6.520ms,Serial1,01,,
,8.608ms,Serial1,00,,
,10.69ms,Serial1,00,,
,12.77ms,Serial1,24,,
,14.85ms,Serial1,AE,,
,16.94ms,Serial1,DF,,
,18.96ms,Serial1,,CD,
,21.04ms,Serial1,,00,
,23.12ms,Serial1,,00,
,25.20ms,Serial1,,00,
,27.28ms,Serial1,,00,
,29.36ms,Serial1,,00,
,31.44ms,Serial1,,00,
,33.52ms,Serial1,,00,
,35.60ms,Serial1,,00,
,37.68ms,Serial1,,00,
,39.77ms,Serial1,,00,
,41.85ms,Serial1,,00,
,43.93ms,Serial1,,00,
,46.01ms,Serial1,,00,
,48.09ms,Serial1,,98,
,50.17ms,Serial1,,DE,
,85.54ms,Serial1,CE,,
,87.62ms,Serial1,00,,
,89.70ms,Serial1,00,,
,91.79ms,Serial1,00,,
,93.87ms,Serial1,00,,
,95.95ms,Serial1,00,,
,98.03ms,Serial1,00,,
,100.1ms,Serial1,08,,
,102.2ms,Serial1,00,,
,104.3ms,Serial1,00,,
,106.4ms,Serial1,01,,
,108.4ms,Serial1,00,,
,110.5ms,Serial1,00,,
,112.6ms,Serial1,24,,
,114.7ms,Serial1,AE,,
,116.8ms,Serial1,DF,,
,118.8ms,Serial1,,CD,
,120.9ms,Serial1,,00,
,123.0ms,Serial1,,00,
,125.0ms,Serial1,,00,
,127.1ms,Serial1,,00,
,129.2ms,Serial1,,00,
,131.3ms,Serial1,,00,
,133.4ms,Serial1,,00,
,135.4ms,Serial1,,00,
,137.5ms,Serial1,,00,
,139.6ms,Serial1,,00,
,141.7ms,Serial1,,00,
,143.8ms,Serial1,,00,
,145.8ms,Serial1,,00,
,147.9ms,Serial1,,98,
,150.0ms,Serial1,,DE,
,185.4ms,Serial1,CD,,
,187.5ms,Serial1,04,,
,189.6ms,Serial1,00,,
,191.6ms,Serial1,00,,
,193.7ms,Serial1,00,,
,195.8ms,Serial1,00,,
,197.9ms,Serial1,00,,
,200.0ms,Serial1,08,,
,202.0ms,Serial1,00,,
,204.1ms,Serial1,05,,
,206.2ms,Serial1,00,,
,208.3ms,Serial1,00,,
,210.4ms,Serial1,00,,
,212.5ms,Serial1,00,,
,214.5ms,Serial1,8B,,
,216.6ms,Serial1,DE,,
,218.6ms,Serial1,,CD,
,220.7ms,Serial1,,00,
,222.8ms,Serial1,,00,
,224.9ms,Serial1,,00,
,227.0ms,Serial1,,00,
,229.0ms,Serial1,,00,
,231.1ms,Serial1,,00,
,233.2ms,Serial1,,00,
,235.3ms,Serial1,,00,
,237.4ms,Serial1,,00,
,239.4ms,Serial1,,00,
,241.5ms,Serial1,,00,
,243.6ms,Serial1,,00,
,245.7ms,Serial1,,00,
,247.8ms,Serial1,,98,
,249.8ms,Serial1,,DE,
,285.2ms,Serial1,CD,,
,287.3ms,Serial1,04,,
,289.4ms,Serial1,00,,
,291.5ms,Serial1,00,,
,293.6ms,Serial1,00,,
,295.6ms,Serial1,00,,
,297.7ms,Serial1,00,,
,299.8ms,Serial1,08,,
,301.9ms,Serial1,00,,
,304.0ms,Serial1,05,,
,306.1ms,Serial1,00,,
,308.1ms,Serial1,00,,
,310.2ms,Serial1,00,,
,312.3ms,Serial1,00,,
,314.4ms,Serial1,8B,,
,316.5ms,Serial1,DE,,
,318.5ms,Serial1,,CD,
,320.6ms,Serial1,,00,
,322.7ms,Serial1,,00,
,324.8ms,Serial1,,00,
,326.8ms,Serial1,,00,
,328.9ms,Serial1,,00,
,331.0ms,Serial1,,00,
,333.1ms,Serial1,,00,
,335.2ms,Serial1,,00,
,337.2ms,Serial1,,00,
,339.3ms,Serial1,,00,
,341.4ms,Serial1,,00,
,343.5ms,Serial1,,00,
,345.6ms,Serial1,,00,
,347.6ms,Serial1,,98,
,349.7ms,Serial1,,DE,
,385.1ms,Serial1,CD,,
,387.2ms,Serial1,04,,
,389.2ms,Serial1,00,,
,391.3ms,Serial1,00,,
,393.4ms,Serial1,00,,
,395.5ms,Serial1,00,,
,397.6ms,Serial1,00,,
,399.7ms,Serial1,08,,
,401.7ms,Serial1,00,,
,403.8ms,Serial1,05,,
,405.9ms,Serial1,00,,
,408.0ms,Serial1,00,,
,410.1ms,Serial1,00,,
,412.1ms,Serial1,00,,
,414.2ms,Serial1,8B,,
,416.3ms,Serial1,DE,,
,418.3ms,Serial1,,CD,
,420.4ms,Serial1,,00,
,422.5ms,Serial1,,00,
,424.6ms,Serial1,,00,
,426.6ms,Serial1,,00,
,428.7ms,Serial1,,00,
,430.8ms,Serial1,,00,
,432.9ms,Serial1,,00,
,435.0ms,Serial1,,00,
,437.0ms,Serial1,,00,
,439.1ms,Serial1,,00,
,441.2ms,Serial1,,00,
,443.3ms,Serial1,,00,
,445.4ms,Serial1,,00,
,447.4ms,Serial1,,98,
,449.5ms,Serial1,,DE,
,484.9ms,Serial1,CD,,
,487.0ms,Serial1,04,,
,489.1ms,Serial1,00,,
,491.2ms,Serial1,00,,
,493.2ms,Serial1,00,,
,495.3ms,Serial1,00,,
,497.4ms,Serial1,00,,
,499.5ms,Serial1,08,,
,501.6ms,Serial1,00,,
,503.6ms,Serial1,05,,
,505.7ms,Serial1,,,
